Year Make Model,Nickname,Ordinal,Year,Make,Model,Car Division,Spec,PI,Class
1985 Nissan #83 GTP ZX-Turbo,Nissan #83 GTP,3018,1985,Nissan,#83 GTP ZX-Turbo,GTP/C,Race,944,P
1948 Ferrari 166 Inter Sport,Ferrari 166 IS,3019,1948,Ferrari,166 Inter Sport,The Birth of Grand Prix,Race,342,D
1983 Porsche #11 John Fitzpatrick Racing 956,Porsche #11 956,3023,1983,Porsche,#11 John Fitzpatrick Racing 956,GTP/C,Race,959,P
1967 Aston Martin DBS,AM DBS '67,3024,1967,Aston Martin,DBS,Vintage Exotic GT,Factory,343,D
1986 Merkur #11 MAC Tools XR4Ti,Merkur #11 XR4Ti,3028,1986,Merkur,#11 MAC Tools XR4Ti,GTX Sportscars,Race,807,R
2018 KTM X-Bow GT4,KTM X-Bow GT4,3035,2018,KTM,X-Bow GT4,Forza GT4,Race,750,S
2018 DeBerti Ford Mustang GT,Ford Mustang DD,3046,2018,DeBerti,Ford Mustang GT,Modern Muscle,Tuner,824,S1
2018 Ford Mustang GT,Ford Mustang '18,3046,2018,Ford,Mustang GT,Modern Sport Touring,Factory,568,B
1970 Ferrari 512 S,Ferrari 512S,3062,1970,Ferrari,512 S,Vintage Le Mans Prototypes,Race,843,R
2018 Mercedes-AMG GT 4-Door Coupé,AMG GT Coupe '18,3064,2018,Mercedes-AMG,GT 4-Door Coupé,Sport Luxury,Factory,684,A
2018 BMW M5,BMW M5 '18,3071,2018,BMW,M5,Sport Luxury,Factory,711,S
2019 Porsche 911 GT3 RS,P. 911 GT3 RS 19,3072,2019,Porsche,911 GT3 RS,Modern Sport GT,Factory,756,S
2018 BMW #1 BMW M Motorsport M8 GTE,BMW #1 M8,3073,2018,BMW,#1 BMW M Motorsport M8 GTE,Forza GT2,Race,838,R
1963 Shelby Monaco King Cobra,Shelby Monaco KC,3079,1963,Shelby,Monaco King Cobra,Vintage Le Mans Prototypes,Race,793,S
1970 Matra-Simca #146 Equipe Matra-Simca MS650 Tour de France,Matra #146 MS650,3080,1970,Matra-Simca,#146 Equipe Matra-Simca MS650 Tour de France,Vintage Le Mans Prototypes,Race,775,S
2019 Aston Martin Vantage,AM Vantage '19,3091,2019,Aston Martin,Vantage,Modern Sport GT,Factory,665,A
2018 Morgan Aero GT,Morgan Aero GT,3094,2018,Morgan,Aero GT,Track Toys,Factory,811,S1
2017 Ferrari #25 Corse Clienti 488 Challenge,Ferrari #25 488,3112,2017,Ferrari,#25 Corse Clienti 488 Challenge,488 Challenge Spec,Race,830,R
2018 Porsche 718 Cayman GTS,P. 718 GTS '18,3117,2018,Porsche,718 Cayman GTS,Modern Sport Coupe,Factory,608,A
2019 Chevrolet Corvette ZR1,Chev. C7 ZR1 '19,3118,2019,Chevrolet,Corvette ZR1,Modern Sport GT,Factory,756,S
2019 Porsche 911 Carrera S,P. 911 CS '19,3123,2019,Porsche,911 Carrera S,Modern Sport GT,Factory,685,A
2017 Aston Martin Vanquish Zagato Coupe,AM Vanquish '17,3125,2017,Aston Martin,Vanquish Zagato Coupe,Modern Exotic GT,Factory,675,A
2008 Renault Mégane R26.R,Ren. Megane '08,3129,2008,Renault,Mégane R26.R,Modern Hot Hatch,Factory,512,B
2018 Renault Megane R.S.,Ren. Megane '18,3134,2018,Renault,Megane R.S.,Modern Hot Hatch,Factory,446,C
2019 Rimac Concept Two,Rimac Concept 2,3140,2019,Rimac,Concept Two,Modern Hypercars,Factory,908,P
2018 Apollo Intensa Emozione,Apollo IE '18,3141,2018,Apollo,Intensa Emozione,Modern Hypercars,Factory,906,P
2018 Chevrolet Camaro ZL1 1LE,Chev. Camaro '18,3149,2018,Chevrolet,Camaro ZL1 1LE,Modern Sport Touring,Factory,667,A
2018 McLaren 600LT Coupé,McL. 600 '18,3153,2018,McLaren,600LT Coupé,Modern Sport GT,Factory,753,S
2019 McLaren 720S Spider,McL. Spider '19,3154,2019,McLaren,720S Spider,Modern Sport GT,Factory,786,S
2019 McLaren Senna GTR,McL. SennaGTR 19,3155,2019,McLaren,Senna GTR,Modern Factory Racecars,Race,908,P
2019 McLaren #03 720S GT3,McLaren #03 720S,3157,2019,McLaren,#03 720S GT3,Forza GT3,Race,806,R
1991 Ford #15 Roush Racing Whistler Mustang,Ford #15 Mustang,3158,1991,Ford,#15 Roush Racing Whistler Mustang,GTX Sportscars,Race,824,R
2018 Volkswagen #22 Experion Racing Golf GTI,VW #22 Golf GTI,3161,2018,Volkswagen,#22 Experion Racing Golf GTI,Forza Touring Cars,Race,704,S
2018 Chevrolet Hot Wheels COPO Camaro,COPOP Camaro '18,3163,2018,Chevrolet,Hot Wheels COPO Camaro,Track Toys,Race,867,S1
2019 Bugatti Divo,Bugatti Divo,3168,2019,Bugatti,Divo,Modern Hypercars,Factory,870,R
1991 Bentley Turbo R,Bentley Turbo R,3172,1991,Bentley,Turbo R,Retro Saloons,Factory,543,C
2019 BMW Z4 Roadster,BMW Z4 '19,3173,2019,BMW,Z4 Roadster,Modern Sport Coupe,Factory,608,A
1986 Ford Mustang SVO,Ford Mustang '86,3181,1986,Ford,Mustang SVO,Sport Touring Classics,Factory,314,D
2016 Renault Clio R.S. 16 Concept,Ren. Clio '16,3182,2016,Renault,Clio R.S. 16 Concept,Modern Hot Hatch,Factory,526,B
2019 Aston Martin DBS Superleggera,AM DBS '19,3185,2019,Aston Martin,DBS Superleggera,Modern Exotic GT,Factory,727,S
1973 Lamborghini Espada 400 GT,L. Espada '73,3191,1973,Lamborghini,Espada 400 GT,Vintage Exotic GT,Factory,357,D
2018 ATS GT,ATS GT '18,3195,2018,ATS,GT,Modern Supercars,Factory,877,S1
2019 RAESR Tachyon Speed,RAESR TS '19,3196,2019,RAESR,Tachyon Speed,Modern Hypercars,Factory,941,P
2018 Mercedes-AMG GT3,M-AMG GT3,3197,2018,Mercedes-AMG,GT3,Forza GT3,Race,817,R
1985 De Tomaso Pantera GT5,Pnatera GT5,3198,1985,De Tomaso,Pantera GT5,Vintage Exotic GT,Factory,502,B
2017 Aston Martin Vulcan AMR Pro,AM Vulcan AMR 17,3211,2017,Aston Martin,Vulcan AMR Pro,Modern Factory Racecars,Race,885,R
2019 Zenvo TSR-S,Zenvo TSR-S,3212,2019,Zenvo,TSR-S,Modern Hypercars,Factory,868,R
2019 Porsche #70 Porsche Motorsport 935,Porsche #70 935,3214,2019,Porsche,#70 Porsche Motorsport 935,Modern Factory Racecars,Race,819,R
2019 Porsche 911 Speedster,P. 911 S '19,3215,2019,Porsche,911 Speedster,Modern Sport GT,Factory,689,A
2018 Lamborghini Huracán Performante,L. Huracán '18,3217,2018,Lamborghini,Huracán Performante,Modern Sport GT,Factory,781,S
2018 Porsche #73 Park Place Motorsports 911 GT3 R,Porsche #73 GT3,3218,2018,Porsche,#73 Park Place Motorsports 911 GT3 R,Forza GT3,Race,801,R
2018 Ferrari Portofino,Ferrari Porto 18,3225,2018,Ferrari,Portofino,Modern Exotic GT,Factory,686,A
2017 Ferrari J50,Ferrari J50 '17,3226,2017,Ferrari,J50,Modern Exotic GT,Factory,763,S
2019 Ferrari 488 Pista,Ferrari 488,3227,2019,Ferrari,488 Pista,Modern Sport GT,Factory,804,R
1999 Ford Racing Puma,Ford Puma '99,3228,1999,Ford,Racing Puma,Early Sport Compact,Factory,303,D
2018 Audi #44 R8 LMS GT3,Audi #44 R8 LMS,3229,2018,Audi,#44 R8 LMS GT3,Forza GT3,Race,828,R
2017 Vauxhall #66 Power Maxed TAG Racing Astra,#66 Astra,3231,2017,Vauxhall,#66 Power Maxed TAG Racing Astra,Forza Touring Cars,Race,702,S
1982 Volkswagen Pickup LX,VW Pickup '82,3235,1982,Volkswagen,Pickup LX,Vans & Utility,Factory,100,D
2018 Lamborghini #63 Squadra Corse Huracán Super Trofeo Evo,L. #63 Huracán,3239,2018,Lamborghini,#63 Squadra Corse Huracán Super Trofeo Evo,Super Trofeo,Race,824,R
2018 Acura #36 NSX GT3,Acura #36 NSX,3240,2018,Acura,#36 NSX GT3,Forza GT3,Race,819,R
2018 Subaru WRX STI ARX Supercar,Subaru ST ARX,3241,2018,Subaru,WRX STI ARX Supercar,Rally Monsters,Race,849,S1
2014 Cadillac CTS-V Sport Wagon,CTS-V Wagon '14,3242,2014,Cadillac,CTS-V Sport Wagon,Modern Sport Touring,Factory,555,B
2018 Peugeot #7 DG Sport Compétition 308,Peugeot #7 308,3243,2018,Peugeot,#7 DG Sport Compétition 308,Forza Touring Cars,Race,716,S
1964 Plymouth Belvedere,,3244,1964,Plymouth,Belvedere,Classic Muscle,Factory,,
2018 Mercedes-AMG E 63 S,M-AMG E 63 '18,3250,2018,Mercedes-AMG,E 63 S,Sport Luxury,Factory,676,A
2018 Ford #98 Breathless Pro Racing TA Mustang,Ford #98 Mustang,3251,2018,Ford,#98 Breathless Pro Racing TA Mustang,Forza T/A,Race,897,R
1987 Porsche #203 Porsche AG 961,#203 Porsche 961,3252,1987,Porsche,#203 Porsche AG 961,GTX Sportscars,Race,825,R
2018 Chevrolet #23 Ruman Racing TA Corvette,Chev. #23 C7,3256,2018,Chevrolet,#23 Ruman Racing TA Corvette,Forza T/A,Race,899,R
1990 Nissan Pulsar GTi-R,Nissan Pulsar 90,3257,1990,Nissan,Pulsar GTi-R,Early Sport Compact,Factory,387,D
2018 Audi RS 5 Coupe,Audi RS 5 '18,3264,2018,Audi,RS 5 Coupe,Modern Sport Touring,Factory,638,A
1974 BRM #14 Team Motul P201,BRM #14 P201,3266,1974,BRM,#14 Team Motul P201,Formula 70s,Race,856,R
1965 Lotus Team Lotus type 35,Lotus Type 35,3268,1965,Lotus,Team Lotus type 35,Formula 60s,Race,710,S
1966 McLaren #4 Bruce McLaren Motor Racing M1B,McLaren #4 M1B,3270,1966,McLaren,#4 Bruce McLaren Motor Racing M1B,Prototype Group Racing,Race,805,R
2018 SUBARU #1 Adrian Flux SUBARU Racing Levorg GT,SUBARU #1 Levorg,3272,2018,SUBARU,#1 Adrian Flux SUBARU Racing Levorg GT,Forza Touring Cars,Race,673,A
2018 Saleen S1,Saleen S1 '18,3276,2018,Saleen,S1,Modern Sport GT,Factory,694,A
2020 Ford Mustang Shelby GT500,Ford GT500 '20,3277,2020,Ford,Mustang Shelby GT500,Modern Sport Touring,Factory,724,S
2018 Saleen S302 Black Label,Saleen S302,3278,2018,Saleen,S302 Black Label,Modern Sport Touring,Factory,681,A
2015 Cadillac #3 Cadillac Racing ATS-V.R,Cadillac #3 ATS,3281,2015,Cadillac,#3 Cadillac Racing ATS-V.R,Forza GT3,Race,824,R
2018 Cadillac #57 TA CTS-V,Cadillac #57 CTS,3283,2018,Cadillac,#57 TA CTS-V,Forza T/A,Race,897,R
2019 Hennessey Camaro Exorcist,Exorcist '19,3284,2019,Hennessey,Camaro Exorcist,Modern Exotic GT,Tuner,725,S
2019 Brabham BT62,Brabham BT62 '19,3285,2019,Brabham,BT62,Modern Factory Racecars,Race,911,P
2018 Audi TT RS,Audi TT RS '18,3286,2018,Audi,TT RS,Modern Sport Coupe,Factory,643,A
1991 Jaguar Sport XJR-15,Jag. XJR-15 '91,3287,1991,Jaguar,Sport XJR-15,Exotic GT Classics,Factory,740,S
2018 Lamborghini Aventador SVJ,L. Aventador '18,3289,2018,Lamborghini,Aventador SVJ,Modern Exotic GT,Factory,823,R
2019 Dodge #9 American V8 Road Racing TA Challenger,Dodge #9 C,3292,2019,Dodge,#9 American V8 Road Racing TA Challenger,Forza T/A,Race,898,R
1993 Jaguar XJ220S TWR,Jag. XJ220S '93,3293,1993,Jaguar,XJ220S TWR,Exotic GT Classics,Factory,786,S
1981 Porsche #1 Porsche System Engineering 924 GTP Le Mans,,3298,1981,Porsche,#1 Porsche System Engineering 924 GTP Le Mans,GTX Sportscars,Race,,S
1986 Lotus #12 Team Lotus 98T,Lotus #12 98T,3301,1986,Lotus,#12 Team Lotus 98T,Grand Prix Rivals,Race,999,X
2019 Nissan 370Z Nismo,Nissan 370Z N 19,3307,2019,Nissan,370Z Nismo,Modern Sport Coupe,Factory,525,B
1965 Lotus #1 Team Lotus Type 40,Lotus Type 40,3309,1965,Lotus,#1 Team Lotus Type 40,Vintage Le Mans Prototypes,Race,736,S
1990 Oldsmobile #75 Cutlass Supreme Trans Am,Olds #75 Cutlass,3310,1990,Oldsmobile,#75 Cutlass Supreme Trans Am,GTX Sportscars,Race,814,R
2018 Ferrari FXX-K Evo,Ferrari FXX-K E,3311,2018,Ferrari,FXX-K Evo,Modern Factory Racecars,Race,934,P
2019 Ferrari Monza SP2,Ferrari Monza 19,3312,2019,Ferrari,Monza SP2,Modern Exotic GT,Factory,766,S
2020 Koenigsegg Jesko,Koe. Jesko '20,3315,2020,Koenigsegg,Jesko,Modern Hypercars,Factory,941,P
1985 Buick #6 Performance Motorsports Somerset Regal Trans-Am,Buick #6 Regal,3316,1985,Buick,#6 Performance Motorsports Somerset Regal Trans-Am,GTX Sportscars,Race,771,S
2018 Audi RS 4 Avant,Audi RS 4 '18,3318,2018,Audi,RS 4 Avant,Modern Sport Touring,Factory,637,A
2019 Italdesign DaVinci Concept,DaVinci,3320,2019,Italdesign,DaVinci Concept,GT Cars,Factory,809,S1
2019 Elemental RP1,Elemental Rp1 19,3334,2019,Elemental,RP1,Track Toys,Factory,784,S
1988 Nissan #24 Nissan Motorsports International R88C,Nissan #24 R88C,3338,1988,Nissan,#24 Nissan Motorsports International R88C,GTP/C,Race,955,P
2021 Audi RS e-tron GT,Audi RS e-tron,3359,2021,Audi,RS e-tron GT,Sport Luxury,Factory,706,S
2020 Automobili Pininfarina Battista,Battista '20,3360,2020,Automobili Pininfarina,Battista,Modern Hypercars,Factory,924,P
1983 Nissan #23 Nissan Motorsports Silvia Super Silhouette,Nis. #23 Silvia,3362,1983,Nissan,#23 Nissan Motorsports Silvia Super Silhouette,GTX Sportscars,Race,800,S
1998 Nissan #23 Pennzoil NISMO Skyline GT-R,Nis. #23 GT-R,3363,1998,Nissan,#23 Pennzoil NISMO Skyline GT-R,GTX Sportscars,Race,811,R
2019 Aston Martin Valhalla Concept Car,AM Valhalla '19,3364,2019,Aston Martin,Valhalla Concept Car,Modern Hypercars,Factory,927,P
2016 Ligier #11 Euro International JS P3,Ligier #11 JS P3,3365,2016,Ligier,#11 Euro International JS P3,Forza P3,Race,897,R
2016 NIO EP9,NIO EP9 '16,3366,2016,NIO,EP9,Modern Hypercars,Factory,961,P
2019 Ferrari F8 Tributo,Ferrari F8 T '19,3367,2019,Ferrari,F8 Tributo,Modern Exotic GT,Factory,766,S
2020 Chevrolet Corvette Stingray Coupe,Chev. C8 '20,3369,2020,Chevrolet,Corvette Stingray Coupe,Modern Sport GT,Factory,678,A
2020 Lamborghini Huracán EVO,L. Huracán E '20,3371,2020,Lamborghini,Huracán EVO,Modern Sport GT,Factory,752,S
2019 Toyota 4Runner TRD Pro,Toyota 4Runner,3373,2019,Toyota,4Runner TRD Pro,Pickups & 4x4s,Factory,531,C
2019 Toyota Tacoma TRD Pro,Toyota Tacoma,3374,2019,Toyota,Tacoma TRD Pro,Pickups & 4x4s,Factory,518,C
2001 Formula Drift #215 Nissan Silvia Spec-R,#215 FD Silvia,3392,2001,Formula Drift,#215 Nissan Silvia Spec-R,Formula Drift,Race,801,R
1967 Renault 8 Gordini,Ren. 8 G '67,3395,1967,Renault,8 Gordini,Vintage Sport Compact,Factory,228,E
2020 Toyota GR Supra,Toyota Supra '20,3402,2020,Toyota,GR Supra,Modern Sport Coupe,Factory,578,B
1977 Renault #15 Equipe Renault Elf R.S. 01,Renault #15 RS01,3403,1977,Renault,#15 Equipe Renault Elf R.S. 01,Formula 70s,Race,828,R
1995 Formula Drift #34 Toyota Supra MKIV,FD #34 Supra,3411,1995,Formula Drift,#34 Toyota Supra MKIV,Formula Drift,Race,813,R
2019 SUBARU STI S209,SUBARU STI '19,3412,2019,SUBARU,STI S209,Modern Sport Compact,Factory,547,B
2021 Volkswagen Golf R,VW Golf R '21,3413,2021,Volkswagen,Golf R,Modern Hot Hatch,Factory,488,C
2019 Toyota 86 TRD SE,Toyota 86 '19,3418,2019,Toyota,86 TRD SE,Modern Sport Compact,Factory,376,D
2020 Toyota Tundra TRD Pro,Toyota Tundra,3419,2020,Toyota,Tundra TRD Pro,Pickups & 4x4s,Factory,562,C
2020 Acura #6 ARX-05 DPi,Acura #6 ARX-05,3420,2020,Acura,#6 ARX-05 DPi,Forza Proto-H,Race,943,P
2019 Ginetta G55 GT4,Ginetta G55 GT4,3427,2019,Ginetta,G55 GT4,Forza GT4,Race,723,S
2019 Ginetta G40 Junior,Ginetta G40 Jr,3429,2019,Ginetta,G40 Junior,G40 Junior Spec,Race,300,E
2020 BMW M2 Competition Coupé,BMW M2 '20,3434,2020,BMW,M2 Competition Coupé,Modern Sport Coupe,Factory,588,B
1988 Chevrolet #77 Beretta Trans Am,Chev #77 Beretta,3435,1988,Chevrolet,#77 Beretta Trans Am,GTX Sportscars,Race,758,S
1970 Ford #15 Mustang Boss 302 Trans Am,Ford #15 Mustang,3436,1970,Ford,#15 Mustang Boss 302 Trans Am,Vintage Trans Am,Race,584,B
2020 McLaren GT,McL. GT '20,3437,2020,McLaren,GT,Modern Exotic GT,Factory,710,S
1961 DeBerti Ford Econoline 'Shop Rod',,3438,1961,DeBerti,Ford Econoline 'Shop Rod',Rods and Customs,Tuner,,
2019 DeBerti Ford Super Duty F-250 Lariat 'Transformer',DeBerti F-250,3439,2019,DeBerti,Ford Super Duty F-250 Lariat 'Transformer',Unlimited Offroad,Tuner,665,B
2020 Porsche Taycan Turbo S,P. Taycan '20,3445,2020,Porsche,Taycan Turbo S,Sport Luxury,Factory,749,S
2020 Lotus Evija,Lotus Evija '20,3449,2020,Lotus,Evija,Modern Exotic GT,Factory,931,P
2020 Audi TT RS Coupe,Audi TT RS '20,3453,2020,Audi,TT RS Coupe,Modern Sport Coupe,Factory,643,A
2020 Audi RS 3 Sedan,Audi RS 3 '20,3454,2020,Audi,RS 3 Sedan,Modern Sport Coupe,Factory,621,A
2020 Lexus #14 VASSER SULLIVAN RC F GT3,Lexus #14 RC F,3457,2020,Lexus,#14 VASSER SULLIVAN RC F GT3,Forza GT3,Race,784,S
2019 Ginetta #6 Team LNT Ginetta G60-LT-P1,Ginetta #6 G60,3460,2019,Ginetta,#6 Team LNT Ginetta G60-LT-P1,Forza P1,Race,981,P
2020 Chevrolet Silverado LT Trail Boss,,3477,2020,Chevrolet,Silverado LT Trail Boss,Pickups & 4x4s,Factory,,
2021 McLaren 765LT Coupe,McL. 765 '21,3482,2021,McLaren,765LT Coupe,Modern Sport GT,Factory,830,R
2020 Chevrolet #3 Corvette Racing C8.R,Chev. #3 C8,3490,2020,Chevrolet,#3 Corvette Racing C8.R,Forza GT2,Race,821,R
2020 KTM X-Bow GT2,KTM X-Bow GT2,3492,2020,KTM,X-Bow GT2,Modern Factory Racecars,Race,849,R
1999 Nissan #23 NISMO Clarion R391,Nissan #23 R391,3497,1999,Nissan,#23 NISMO Clarion R391,Early LMP,Race,955,P
2017 Saleen S7 LM,Saleen S7 LM,3498,2017,Saleen,S7 LM,Modern Exotic GT,Factory,860,R
2020 Saleen Sportruck XR Black Label,Sportruck XR,3499,2020,Saleen,Sportruck XR Black Label,Pickups & 4x4s,Factory,666,B
1974 Porsche #1 911 RSR,#1 Porsche 911,3506,1974,Porsche,#1 911 RSR,GTX Sportscars,Race,705,S
1964 Brabham BT8,Brabham BT8,3517,1964,Brabham,BT8,Vintage Le Mans Sportscars,Race,538,B
2020 BMW M8 Competition Coupé,BMW M8 '20,3518,2020,BMW,M8 Competition Coupé,Sport Luxury,Factory,720,S
2021 Lexus LC 500,Lexus LC 500 '21,3520,2021,Lexus,LC 500,Sport Luxury,Factory,542,B
1984 Toyota #25 Horsepower Techs Starlet Time Attack,#25 Starlet TA,3521,1984,Toyota,#25 Horsepower Techs Starlet Time Attack,Forza Specials,Race,801,R3
2020 Formula Drift #151 Toyota GR Supra,FD #151 GR Supra,3523,2020,Formula Drift,#151 Toyota GR Supra,Formula Drift,Race,801,R
"1975 Forsberg Racing Nissan ""Gold Leader"" Datsun 280Z",Datsun 280Z,3529,1975,Forsberg Racing,"Nissan ""Gold Leader"" Datsun 280Z",Formula Drift,Race,791,A
2021 Forsberg Racing Nissan 'Altimaniac',Altimaniac,3530,2021,Forsberg Racing,Nissan 'Altimaniac',Drift Cars,Race,881,S1
2020 Hyundai #98 Bryan Herta Autosport Veloster N,#98 Veloster,3532,2020,Hyundai,#98 Bryan Herta Autosport Veloster N,Forza Touring Cars,Race,692,A
2022 Volkswagen Golf R,VW Golf R '22,3533,2022,Volkswagen,Golf R,Modern Hot Hatch,Factory,489,C
2021 MINI John Cooper Works GP,MINI JCW GP '21,3534,2021,MINI,John Cooper Works GP,Modern Hot Hatch,Factory,570,B
2020 MG #20 MG6 XPower,MG #20 MG6,3537,2020,MG,#20 MG6 XPower,Forza Touring Cars,Race,716,S
1964 Chevron B16,Chevron B16,3541,1964,Chevron,B16,Vintage Le Mans Prototypes,Race,654,A
2022 Pagani Huayra R,Pagani Huayra 22,3543,2022,Pagani,Huayra R,Modern Factory Racecars,Race,925,P
2020 Honda #73 LA Honda World Racing Civic,Honda #73 Civic,3545,2020,Honda,#73 LA Honda World Racing Civic,Forza Touring Cars,Race,693,A
2020 Lexus RC F Track Edition,Lexus RC F T '20,3546,2020,Lexus,RC F Track Edition,Modern Sport Coupe,Factory,575,B
2020 Xpeng P7,Xpeng P7 '20,3547,2020,Xpeng,P7,Modern Sport Touring,Factory,558,B
2013 Wuling Sunshine S,Wuling Sunshine,3548,2013,Wuling,Sunshine S,Vans & Utility,Factory,207,D
2021 Alumi Craft #122 Class 1 Buggy,#122 AC Class 1,3549,2021,Alumi Craft,#122 Class 1 Buggy,Unlimited Buggies,Race,689,B
2020 Formula Drift #91 BMW M2,#91 BMW M2,3551,2020,Formula Drift,#91 BMW M2,Formula Drift,Race,801,R
2020 Lynk & Co #62 Cyan Racing 03,Lynk #62 03,3552,2020,Lynk & Co,#62 Cyan Racing 03,Forza Touring Cars,Race,688,A
2005 Mitsubishi #1 Sierra Sierra Enterprises Lancer Evolution Time Attack,#1 Evolution TA,3554,2005,Mitsubishi,#1 Sierra Sierra Enterprises Lancer Evolution Time Attack,Forza Specials,Race,640,P
2011 BMW X5 M Forza Edition,BMW X5M FE,3556,2011,BMW,X5 M Forza Edition,Extreme Track Toys,Upgraded,998,S2
1953 Chevrolet Corvette Forza Edition,Corvette '53 FE,3559,1953,Chevrolet,Corvette Forza Edition,Classic Racers,Upgraded,800,A
2021 Aston Martin DBX,AM DBX '21,3580,2021,Aston Martin,DBX,Sports Utility Heroes,Factory,732,A
2021 Audi RS 6 Avant,Audi RS 6 '21,3583,2021,Audi,RS 6 Avant,Sport Luxury,Factory,658,A
2021 Audi RS 7 Sportback,Audi RS 7 '21,3584,2021,Audi,RS 7 Sportback,Sport Luxury,Factory,656,A
1972 Chevrolet K10 Custom,Chevy K10 '72,3590,1972,Chevrolet,K10 Custom,Pickups & 4x4s,Factory,369,D
2020 Ferrari Roma,Ferrari Roma '20,3594,2020,Ferrari,Roma,Modern Exotic GT,Factory,707,S
2020 Ferrari SF90 Stradale,Ferrari SF90 '20,3595,2020,Ferrari,SF90 Stradale,Modern Exotic GT,Factory,854,R
1986 Ford F-150 XLT Lariat,Ford F-150 '86,3597,1986,Ford,F-150 XLT Lariat,Pickups & 4x4s,Factory,357,D
2022 Gordon Murray Automotive T.50,GMA T.50,3599,2022,Gordon Murray Automotive,T.50,Modern Exotic GT,Factory,859,R
2019 Casey Currie Motorsports #4402 Ultra 4 'Trophy Jeep',#4402 Ultra 4,3603,2019,Casey Currie Motorsports,#4402 Ultra 4 'Trophy Jeep',Unlimited Offroad,Race,745,A
2020 Lamborghini Essenza SCV12,L. Essenza SCV12,3606,2020,Lamborghini,Essenza SCV12,Modern Factory Racecars,Factory,923,P
2020 Mercedes-AMG GT Black Series,M-AMG GT '20,3616,2020,Mercedes-AMG,GT Black Series,Modern Sport GT,Factory,801,R
2023 Nissan Z,Nissan Z '23,3620,2023,Nissan,Z,Modern Sport Coupe,Factory,546,B
2020 Nissan GT-R NISMO (R35),Nissan GT-R N 20,3622,2020,Nissan,GT-R NISMO (R35),Modern Sport GT,Factory,722,S
2021 Rimac Nevera,Rimac Nevera '21,3625,2021,Rimac,Nevera,Modern Hypercars,Factory,886,R
2021 Toyota GR Yaris,,3629,2021,Toyota,GR Yaris,Modern Hot Hatch,Factory,,B
2022 Aston Martin Valkyrie AMR Pro,AM AMR Pro '22,3631,2022,Aston Martin,Valkyrie AMR Pro,Modern Factory Racecars,Race,999,X
2019 Lamborghini Sián FKP 37,L. Sián '19,3633,2019,Lamborghini,Sián FKP 37,Modern Hypercars,Factory,806,R
2021 BMW M3 Competition Sedan,BMW M3 '21,3644,2021,BMW,M3 Competition Sedan,Modern Sport Touring,Factory,642,A
2021 BMW M4 Competition Coupé,BMW M4 '21,3645,2021,BMW,M4 Competition Coupé,Modern Sport Touring,Factory,641,A
2021 Mercedes-AMG Mercedes-AMG ONE,M-AMG ONE '21,3650,2021,Mercedes-AMG,Mercedes-AMG ONE,Modern Hypercars,Factory,912,P
2020 Oreca #38 Performance Tech Motorsports Oreca 07,#38 Oreca 07 '20,3652,2020,Oreca,#38 Performance Tech Motorsports Oreca 07,Forza P2,Race,940,P
2021 McLaren 620R,McL. 620 '21,3655,2021,McLaren,620R,Modern Sport GT,Factory,752,S
2022 Rivian R1T,Rivian R1T,3657,2022,Rivian,R1T,Pickups & 4x4s,Factory,,
2022 Rivian R1S,Rivian R1S,3658,2022,Rivian,R1S,Sports Utility Heroes,Factory,,
2021 RJ Anderson #37 Polaris RZR Pro 4 Truck,#37 Pro 4 Truck,3662,2021,RJ Anderson,#37 Polaris RZR Pro 4 Truck,Unlimited Offroad,Race,776,A
2021 Porsche 911 GT3,P. 911 GT3 '21,3667,2021,Porsche,911 GT3,Modern Sport GT,Factory,737,S
2023 McLaren Artura,McL. Artura '23,3668,2023,McLaren,Artura,Modern Exotic GT,Factory,751,S
2021 Cadillac #31 Whelen Racing DPi-V.R,Cadillac #31 Dpi,3669,2021,Cadillac,#31 Whelen Racing DPi-V.R,Forza Proto-H,Race,950,P
2020 Lamborghini Huracán STO,L. Huracán S '20,3672,2020,Lamborghini,Huracán STO,Modern Sport GT,Factory,766,S
2020 Lamborghini SC20,Lambo SC20,3673,2020,Lamborghini,SC20,Hypercars,Factory,884,S1
2021 Hyundai #98 Bryan Herta Autosport Elantra N,#98 Elantra,3676,2021,Hyundai,#98 Bryan Herta Autosport Elantra N,Forza Touring Cars,Race,670,A
2021 Lynk & Co 03+,Lynk 03 '21,3677,2021,Lynk & Co,03+,Modern Sport Compact,Factory,415,C
2020 Hyundai i30 N,Hyundai i30 N,3678,2020,Hyundai,i30 N,Modern Hot Hatch,Factory,466,C
1998 Toyota Supra RZ 'Welcome Pack',Supra '98 WP,3681,1998,Toyota,Supra RZ 'Welcome Pack',Retro Sports Cars,Upgraded,800,A
2018 Apollo Intensa Emozione 'Welcome Pack',Apollo IE WP,3682,2018,Apollo,Intensa Emozione 'Welcome Pack',Extreme Track Toys,Upgraded,998,S2
2021 Polaris RZR Pro XP Factory Racing Limited Edition,RZR Racing,3686,2021,Polaris,RZR Pro XP Factory Racing Limited Edition,UTV's,Race,516,C
2021 MG MG6 XPower,MG MG6 '21,3689,2021,MG,MG6 XPower,Modern Sport Touring,Factory,518,B
2022 Alumi Craft #6165 Trick Truck,#6165 Truck,3693,2022,Alumi Craft,#6165 Trick Truck,Unlimited Offroad,Race,596,C
